identifiant,pays_code,pays,secteur_activite_code,secteur,denomination_sociale,adresse_1,adresse_2,adresse_3,adresse_4,code_postal,ville
QBSTAWWV,[FR],FRANCE,[PA],Prestataires associés,IP Santé domicile,16 Rue de Montbrillant,Buroparc Rive Gauche,"","",69003,LYON
MQKQLNIC,[FR],FRANCE,[DM],Dispositifs médicaux,SIGVARIS,ZI SUD D'ANDREZIEUX,RUE B. THIMONNIER,"","",42173,SAINT-JUST SAINT-RAMBERT CEDEX
OETEUQSP,[FR],FRANCE,[AUT],Autres,HEALTHCARE COMPLIANCE CONSULTING FRANCE SAS,47 BOULEVARD CHARLES V,"","","",14600,HONFLEUR
GXIVOHBB,[FR],FRANCE,[PA],Prestataires associés,ISIS DIABETE,10-16 RUE DU COLONEL ROL TANGUY,ZAC DU BOIS MOUSSAY,"","",93240,STAINS
ZQKPAZKB,[FR],FRANCE,[PA],Prestataires associés,CREAFIRST,8 Rue de l'Est,"","","",92100,BOULOGNE BILLANCOURT
GEJLGPVD,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,Nobel Biocare USA LLC,800 Corporate Drive,"","","",07430,MAHWAH
XSQKIAGK,[FR],FRANCE,[DM],Dispositifs médicaux,Cook France SARL,2 Rue due Nouveau Bercy,"","","",94227,Charenton Le Pont Cedex
ARHHJTWT,[FR],FRANCE,[DM],Dispositifs médicaux,EYETECHCARE,2871 Avenue de l'Europe,"","","",69140,RILLIEUX-LA-PAPE
OLTROGGG,[FR],FRANCE,[PA],Prestataires associés,Ipsos Observer,35 rue du Val de Marne,"","","",75013,Paris
TGCRFPAO,[CN],CHINE,[DM],Dispositifs médicaux,BIOMET CHINA,"Suite 07-09, 25th Floor",LanSheng Building,2-8 HuaiHai Road (Mid),"",200021,Shanghai
PGDDOEMD,[US],ÉTATS-UNIS,[MED],Médicaments humains,"Theravance, Inc.",901 Gateway Boulevard,"","","",94080,South San Francisco
GPTSZMKD,[NL],PAYS-BAS,[DM],Dispositifs médicaux,DUX B.V.,Zonnebaan 14,"","","",3542EC,Utrecht
UVECCGEX,[JP],JAPON,[DM],Dispositifs médicaux,"Biomet Japan, Inc.",1-5-9 Shiba,Sumitoma Fudosan Shiba Bldg. No. 2,8F Minato-ku,"",1050014,Tokyo
RKYUBDPV,[SE],SUÈDE,[DM],Dispositifs médicaux,WELLSPECT HEALTHCARE/DENTSPLY IH AB,AMINOGATAN 1,"","","",431 53,MÖLNDAL
GZEIBCDO,[FR],FRANCE,[PA],Prestataires associés,alveol'air,5 rue etienne collombet,"","","",31470,fonsorbes
BQBMXSNR,[FR],FRANCE,[DM],Dispositifs médicaux,SNC LCA de NICE,AUDITION CONSEIL ,"68, Avenue Jean Médecin","","",06000,Nice
CHJDYNZB,[FR],FRANCE,[MED],Médicaments humains,SA CERP BRETAGNE ATLANTIQUE,ZIL Rue Chaptal,"","","",22000,SAINT-BRIEUC
FRHGRMDB,[FR],FRANCE,[DM],Dispositifs médicaux,OPTIQUE E'CAUX,14 bis avenue micheline Ostermeyer,"","","",76190,Yvetot
GKXRBQRJ,[FR],FRANCE,[PA],Prestataires associés,INFECO,61 rue de Neuilly,"","","",92110,Clichy
